OID_,ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,ORIG_FID,Latitude,Longitude
1,24558,860Z200US24558,24558,24558,Z5,245895688.000000000000000,2664677.000000000000000,1,36.779132239461319,-78.957413612947846
2,24483,860Z200US24483,24483,24483,Z5,183512947.000000000000000,174951.000000000000000,2,37.814842956137568,-79.225593846478773
3,23917,860Z200US23917,23917,23917,Z5,279551979.000000000000000,68036904.000000000000000,3,36.623779711464579,-78.341438465612669
4,23185,860Z200US23185,23185,23185,Z5,148250081.000000000000000,53120258.000000000000000,4,37.249295431838789,-76.687039211190609
5,24589,860Z200US24589,24589,24589,Z5,196128679.000000000000000,13624074.000000000000000,5,36.755278918287502,-78.755548662240926
6,23513,860Z200US23513,23513,23513,Z5,13133902.000000000000000,54795.000000000000000,6,36.889475834042571,-76.238308136611181
7,23147,860Z200US23147,23147,23147,Z5,143646.000000000000000,0.000000000000000,7,37.369655865126106,-77.039076352991287
8,24315,860Z200US24315,24315,24315,Z5,443102906.000000000000000,1249356.000000000000000,8,37.139302302159592,-81.053398461369852
9,22842,860Z200US22842,22842,22842,Z5,211609563.000000000000000,836133.000000000000000,9,38.771910572415038,-78.699189369993405
10,23832,860Z200US23832,23832,23832,Z5,107565128.000000000000000,1129139.000000000000000,10,37.394362000805756,-77.594900277825502
11,23803,860Z200US23803,23803,23803,Z5,186956837.000000000000000,5195668.000000000000000,11,37.211830676344675,-77.480280976186066
12,24088,860Z200US24088,24088,24088,Z5,290965378.000000000000000,2385054.000000000000000,12,36.894919157892900,-80.079796453143786
13,22572,860Z200US22572,22572,22572,Z5,364912027.000000000000000,45703828.000000000000000,13,37.974831136747639,-76.773224089220321
14,23870,860Z200US23870,23870,23870,Z5,3643171.000000000000000,0.000000000000000,14,36.752420737027421,-77.500156041068408
15,23842,860Z200US23842,23842,23842,Z5,361539877.000000000000000,2573467.000000000000000,15,37.136263635958073,-77.220861015323578
16,22722,860Z200US22722,22722,22722,Z5,6777452.000000000000000,17736.000000000000000,16,38.463049196763052,-78.226435373793436
17,24570,860Z200US24570,24570,24570,Z5,2393382.000000000000000,0.000000000000000,17,37.348595880495566,-79.427197157422825
18,23130,860Z200US23130,23130,23130,Z5,8148982.000000000000000,6388463.000000000000000,18,37.390484628662762,-76.264939809824341
19,24328,860Z200US24328,24328,24328,Z5,99033743.000000000000000,121660.000000000000000,19,36.661846394895235,-80.693827413704128
20,24175,860Z200US24175,24175,24175,Z5,208254817.000000000000000,1764028.000000000000000,20,37.425902275369765,-79.937889762802286
21,22551,860Z200US22551,22551,22551,Z5,435534948.000000000000000,4742569.000000000000000,21,38.172728604141810,-77.705754896870928
22,23837,860Z200US23837,23837,23837,Z5,285992767.000000000000000,1251998.000000000000000,22,36.758159480975337,-77.087532181864674
23,24651,860Z200US24651,24651,24651,Z5,393571350.000000000000000,634362.000000000000000,23,37.077323773273577,-81.500544378320342
24,20105,860Z200US20105,20105,20105,Z5,92370992.000000000000000,903844.000000000000000,24,38.959464794864459,-77.608279527877869
25,22644,860Z200US22644,22644,22644,Z5,156745360.000000000000000,466809.000000000000000,25,38.963609293534148,-78.531383644539517
26,23316,860Z200US23316,23316,23316,Z5,1416693.000000000000000,15000.000000000000000,26,37.295182215986529,-75.966372751501240
27,24448,860Z200US24448,24448,24448,Z5,796018.000000000000000,48450.000000000000000,27,37.798401712369184,-79.790003643853026
28,24129,860Z200US24129,24129,24129,Z5,96279.000000000000000,0.000000000000000,28,37.139469976258454,-80.591797963305339
29,24588,860Z200US24588,24588,24588,Z5,186843073.000000000000000,571939.000000000000000,29,37.264079339290106,-79.099973052814107
30,24528,860Z200US24528,24528,24528,Z5,257811459.000000000000000,1277918.000000000000000,30,37.077331043392974,-78.877700746492224
31,24333,860Z200US24333,24333,24333,Z5,375257273.000000000000000,7852401.000000000000000,31,36.640565412663705,-80.929211335434729
32,22214,860Z200US22214,22214,22214,Z5,1251707.000000000000000,0.000000000000000,32,38.874994334021324,-77.065013926751305
33,22967,860Z200US22967,22967,22967,Z5,251115357.000000000000000,723514.000000000000000,33,37.799456585652933,-79.019202404667226
34,24474,860Z200US24474,24474,24474,Z5,1524136.000000000000000,15099.000000000000000,34,37.805046581734416,-79.847292436696534
35,22908,860Z200US22908,22908,22908,Z5,14017.000000000000000,0.000000000000000,35,38.031030603279760,-78.496394995132903
36,24054,860Z200US24054,24054,24054,Z5,283514496.000000000000000,532945.000000000000000,36,36.678055042506287,-79.703957435886934
37,24586,860Z200US24586,24586,24586,Z5,138976150.000000000000000,657262.000000000000000,37,36.607753400499064,-79.282811690007463
38,24085,860Z200US24085,24085,24085,Z5,429758666.000000000000000,5466688.000000000000000,38,37.675390409539830,-79.836394942272705
39,22815,860Z200US22815,22815,22815,Z5,183561739.000000000000000,511167.000000000000000,39,38.634697644380822,-78.809399986320273
40,23510,860Z200US23510,23510,23510,Z5,2977149.000000000000000,839246.000000000000000,40,36.851320606960485,-76.289951369659946
41,22725,860Z200US22725,22725,22725,Z5,1876696.000000000000000,4634.000000000000000,41,38.440290436854241,-78.152702759724548
42,22957,860Z200US22957,22957,22957,Z5,3726109.000000000000000,30749.000000000000000,42,38.229975829421051,-78.191799287407150
43,24574,860Z200US24574,24574,24574,Z5,275667219.000000000000000,2668798.000000000000000,43,37.575882115866989,-79.247130766771420
44,23231,860Z200US23231,23231,23231,Z5,228421275.000000000000000,17581526.000000000000000,44,37.442197761517548,-77.319027212935509
45,23882,860Z200US23882,23882,23882,Z5,380622139.000000000000000,1375090.000000000000000,45,36.925907616543327,-77.415455074991655
46,24360,860Z200US24360,24360,24360,Z5,239204625.000000000000000,2238766.000000000000000,46,36.939164553401497,-80.902289680324429
47,24084,860Z200US24084,24084,24084,Z5,293964881.000000000000000,5825093.000000000000000,47,37.114679914946180,-80.790865009812308
48,24370,860Z200US24370,24370,24370,Z5,392980094.000000000000000,1851928.000000000000000,48,36.913450737261769,-81.691066636016387
49,23944,860Z200US23944,23944,23944,Z5,330886055.000000000000000,517411.000000000000000,49,36.905604608366048,-78.133190993969151
50,23221,860Z200US23221,23221,23221,Z5,8552677.000000000000000,578851.000000000000000,50,37.553287818578042,-77.490533651306919
51,24273,860Z200US24273,24273,24273,Z5,167026550.000000000000000,598920.000000000000000,51,36.961417782804460,-82.656322808850518
